participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3514,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2687,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2016,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2959,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4319,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3281,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4079,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2688,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
ca384519-81e3-4ef9-b313-fa3ce418cf70,-1,5000,real,pie,0,eggplant,corn,eggplant,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,1801,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3673,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4383,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2839,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3576,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4375,training,pie,16,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4840,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4631,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3362,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2857,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3489,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4889,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,2553,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3975,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4759,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
ca384519-81e3-4ef9-b313-fa3ce418cf70,-1,5000,real,pie,5,celery,olive,olive,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,3552,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
ca384519-81e3-4ef9-b313-fa3ce418cf70,1,4398,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
