participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
d031e23e-deb1-42c4-9c84-60514ff51330,-1,5000,training,bar,16,mushroom,olive,olive,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
d031e23e-deb1-42c4-9c84-60514ff51330,1,2616,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
d031e23e-deb1-42c4-9c84-60514ff51330,-1,5000,training,bar,5,olive,carrot,carrot,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
d031e23e-deb1-42c4-9c84-60514ff51330,1,1336,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
d031e23e-deb1-42c4-9c84-60514ff51330,1,1960,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
d031e23e-deb1-42c4-9c84-60514ff51330,1,2094,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
d031e23e-deb1-42c4-9c84-60514ff51330,1,1744,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
d031e23e-deb1-42c4-9c84-60514ff51330,1,2751,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
d031e23e-deb1-42c4-9c84-60514ff51330,1,3072,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
d031e23e-deb1-42c4-9c84-60514ff51330,1,3200,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
d031e23e-deb1-42c4-9c84-60514ff51330,1,2368,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
d031e23e-deb1-42c4-9c84-60514ff51330,1,3408,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
d031e23e-deb1-42c4-9c84-60514ff51330,1,1840,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
d031e23e-deb1-42c4-9c84-60514ff51330,-1,5000,training,bar,26,mushroom,olive,mushroom,none,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
d031e23e-deb1-42c4-9c84-60514ff51330,1,2760,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
d031e23e-deb1-42c4-9c84-60514ff51330,1,3623,training,bar,7,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
d031e23e-deb1-42c4-9c84-60514ff51330,1,1880,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
d031e23e-deb1-42c4-9c84-60514ff51330,1,2592,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
d031e23e-deb1-42c4-9c84-60514ff51330,1,2607,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
d031e23e-deb1-42c4-9c84-60514ff51330,1,1655,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
d031e23e-deb1-42c4-9c84-60514ff51330,1,1487,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
d031e23e-deb1-42c4-9c84-60514ff51330,1,1984,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
d031e23e-deb1-42c4-9c84-60514ff51330,1,2153,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
d031e23e-deb1-42c4-9c84-60514ff51330,1,2025,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
d031e23e-deb1-42c4-9c84-60514ff51330,1,3825,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
d031e23e-deb1-42c4-9c84-60514ff51330,1,1655,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
d031e23e-deb1-42c4-9c84-60514ff51330,1,1704,training,bar,17,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
d031e23e-deb1-42c4-9c84-60514ff51330,1,2848,training,bar,24,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
d031e23e-deb1-42c4-9c84-60514ff51330,1,1352,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
d031e23e-deb1-42c4-9c84-60514ff51330,0,3824,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
