participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
de62071a-0867-4561-8b25-4bb93a9c9621,-1,5000,training,pie,23,olive,carrot,carrot,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
de62071a-0867-4561-8b25-4bb93a9c9621,1,2561,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
de62071a-0867-4561-8b25-4bb93a9c9621,0,3375,training,pie,4,carrot,celery,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
de62071a-0867-4561-8b25-4bb93a9c9621,1,2856,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
de62071a-0867-4561-8b25-4bb93a9c9621,1,3816,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
de62071a-0867-4561-8b25-4bb93a9c9621,1,2912,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
de62071a-0867-4561-8b25-4bb93a9c9621,1,2816,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
de62071a-0867-4561-8b25-4bb93a9c9621,1,2430,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
de62071a-0867-4561-8b25-4bb93a9c9621,1,2774,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
de62071a-0867-4561-8b25-4bb93a9c9621,1,3232,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
de62071a-0867-4561-8b25-4bb93a9c9621,0,3816,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
de62071a-0867-4561-8b25-4bb93a9c9621,1,3560,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
de62071a-0867-4561-8b25-4bb93a9c9621,1,3856,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
