participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
e00d843e-2ce2-4adf-b823-e80a663aeb13,0,1767,training,pie,4,carrot,celery,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4560,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4791,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2936,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2680,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,-1,5000,real,pie,7,mushroom,corn,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4440,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2280,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2128,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2456,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4128,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2552,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2215,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2168,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3168,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2696,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2353,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3184,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2841,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2303,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2425,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,1729,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2984,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2872,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2167,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2816,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3152,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3784,training,pie,4,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2568,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,1832,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2352,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2664,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4280,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2296,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4008,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2935,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
e00d843e-2ce2-4adf-b823-e80a663aeb13,0,2873,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2272,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,4000,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2624,training,pie,25,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2816,training,pie,16,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2456,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,0,2576,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2896,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2368,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2880,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3872,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,4
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3008,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,5
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2912,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,6
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3320,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,7
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3128,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,8
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2512,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,9
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,1760,training,pie,28,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2456,training,pie,4,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3776,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,1936,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2704,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2224,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,2
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2008,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,3
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,1936,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,4
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3752,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,5
e00d843e-2ce2-4adf-b823-e80a663aeb13,0,3088,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,6
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2000,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,7
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2032,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,8
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2640,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,9
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3384,training,pie,26,olive,mushroom,olive,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,0
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,2520,training,pie,25,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,1
e00d843e-2ce2-4adf-b823-e80a663aeb13,1,3872,training,pie,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,2
