participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1440,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,911,training,pie,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
ebc1171a-152e-40fc-b2ff-3af77ba367b4,0,1768,training,pie,26,olive,mushroom,olive,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
ebc1171a-152e-40fc-b2ff-3af77ba367b4,0,383,real,pie,1,tomato,corn,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,696,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1032,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
ebc1171a-152e-40fc-b2ff-3af77ba367b4,0,1944,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1000,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1096,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,752,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,624,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
ebc1171a-152e-40fc-b2ff-3af77ba367b4,0,1120,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,896,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1008,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1104,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
ebc1171a-152e-40fc-b2ff-3af77ba367b4,1,1064,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
ebc1171a-152e-40fc-b2ff-3af77ba367b4,0,816,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
