participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,1695,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2720,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3088,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2168,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,1808,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3080,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2352,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2664,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,4
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2408,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2392,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,6
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2904,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,7
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3936,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2360,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3520,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3840,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2200,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2584,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2656,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2192,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2128,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3416,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2608,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
ebc44eb8-9a87-47a5-b331-a068f56fdc17,0,3712,real,pie,8,corn,celery,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2400,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
ebc44eb8-9a87-47a5-b331-a068f56fdc17,0,4168,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2320,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2592,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2767,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,4584,training,pie,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2376,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,1928,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2856,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3784,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,3
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2792,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,4
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3728,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,5
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,1840,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,6
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3248,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,7
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3752,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,8
ebc44eb8-9a87-47a5-b331-a068f56fdc17,-1,5000,real,pie,5,celery,olive,celery,none,"more, fewer",0,MORE,"color, geo, icon",2,icon,9
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2808,training,pie,2,mushroom,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3408,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3752,training,pie,4,carrot,celery,carrot,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2952,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3169,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,4431,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2881,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,3
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2728,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,4
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,3152,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,5
ebc44eb8-9a87-47a5-b331-a068f56fdc17,1,2871,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,6
