participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ec695fef-aca5-4305-9635-40974363256f,-1,5000,training,bar,12,celery,corn,celery,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
ec695fef-aca5-4305-9635-40974363256f,0,2290,training,bar,23,carrot,olive,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
ec695fef-aca5-4305-9635-40974363256f,1,2137,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
ec695fef-aca5-4305-9635-40974363256f,1,1869,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
ec695fef-aca5-4305-9635-40974363256f,1,1137,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
ec695fef-aca5-4305-9635-40974363256f,0,2921,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
ec695fef-aca5-4305-9635-40974363256f,1,2777,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
ec695fef-aca5-4305-9635-40974363256f,1,2533,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
ec695fef-aca5-4305-9635-40974363256f,1,1437,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
ec695fef-aca5-4305-9635-40974363256f,1,2296,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
ec695fef-aca5-4305-9635-40974363256f,1,2444,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
ec695fef-aca5-4305-9635-40974363256f,1,1941,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
ec695fef-aca5-4305-9635-40974363256f,1,3866,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
ec695fef-aca5-4305-9635-40974363256f,1,3434,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
ec695fef-aca5-4305-9635-40974363256f,1,3673,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
ec695fef-aca5-4305-9635-40974363256f,1,3293,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
ec695fef-aca5-4305-9635-40974363256f,1,2549,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
ec695fef-aca5-4305-9635-40974363256f,1,3089,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
ec695fef-aca5-4305-9635-40974363256f,1,3401,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
