participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
f3763730-9380-4ca0-8f10-28b0c2b7108b,-1,5000,training,pie,11,carrot,tomato,carrot,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1973,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2678,training,pie,27,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1886,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,3400,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3433,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2109,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1354,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3521,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2370,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3058,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2541,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3142,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2592,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,4914,training,pie,0,carrot,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,-1,5000,training,pie,9,eggplant,mushroom,eggplant,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3090,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,3573,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2816,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1750,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3538,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2437,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,3056,real,pie,3,olive,corn,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,4502,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2094,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,3779,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3177,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2507,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1766,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1543,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3108,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2282,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2523,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1853,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2454,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3882,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,3607,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,4191,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2678,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3883,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,2747,training,pie,1,mushroom,corn,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3470,training,pie,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2232,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,4243,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,0,4157,real,pie,0,eggplant,corn,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3831,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,3
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2661,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,4
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,1853,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,5
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2767,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,6
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3073,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,7
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3040,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,8
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,3401,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,9
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2833,training,pie,0,carrot,corn,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2868,training,pie,3,celery,carrot,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2146,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2506,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
f3763730-9380-4ca0-8f10-28b0c2b7108b,1,2799,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
