participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3614,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,0,2777,training,pie,19,eggplant,carrot,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3879,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,4335,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,4560,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2792,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,4153,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3303,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,4433,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3258,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3733,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2975,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3062,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
f8cbf271-6786-4b81-9439-a26e45f33e4e,-1,5000,training,pie,4,carrot,celery,carrot,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,0,2502,training,pie,22,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2436,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2137,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3082,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2571,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2938,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2152,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3127,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
f8cbf271-6786-4b81-9439-a26e45f33e4e,0,2810,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2791,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
f8cbf271-6786-4b81-9439-a26e45f33e4e,0,2656,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3005,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,1790,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,1347,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2677,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2322,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2524,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,1939,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2121,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
f8cbf271-6786-4b81-9439-a26e45f33e4e,0,2343,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2579,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2350,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,1541,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,1796,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,1769,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2732,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2241,training,pie,4,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2798,training,pie,28,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,0,2311,real,pie,2,mushroom,celery,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,0
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2277,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,1
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2206,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,2
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,3084,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,3
f8cbf271-6786-4b81-9439-a26e45f33e4e,1,2263,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,4
