participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2160,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3005,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2653,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2280,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3667,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2559,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2107,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2982,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
f987d7d8-83e6-404f-8ae4-09ac21fda356,0,3055,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2117,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
f987d7d8-83e6-404f-8ae4-09ac21fda356,0,2494,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3977,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3584,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
f987d7d8-83e6-404f-8ae4-09ac21fda356,-1,5000,training,pie,4,carrot,celery,carrot,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,0,1996,training,pie,26,olive,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2463,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1493,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1326,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3031,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2200,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3046,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2016,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
f987d7d8-83e6-404f-8ae4-09ac21fda356,0,2969,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1758,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,4525,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2834,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2145,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1486,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1397,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1809,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2320,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1790,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2585,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1274,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1117,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2667,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1439,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2536,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
f987d7d8-83e6-404f-8ae4-09ac21fda356,0,2341,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1555,training,pie,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3579,training,pie,4,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2639,training,pie,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3444,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2874,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2154,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2754,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,3
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2874,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,4
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2832,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,5
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1690,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,6
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2248,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,7
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3106,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,8
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1933,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,9
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2528,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2894,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1703,training,pie,11,carrot,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1248,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2683,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3484,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1707,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,3
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1447,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,4
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1323,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,5
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2481,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,6
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3088,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,7
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1172,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,8
f987d7d8-83e6-404f-8ae4-09ac21fda356,0,1966,real,pie,3,olive,corn,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,9
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,3365,training,pie,0,carrot,corn,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2651,training,pie,13,carrot,olive,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2758,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2028,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,0
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1582,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,1
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1911,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,2
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2346,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,3
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,1573,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,4
f987d7d8-83e6-404f-8ae4-09ac21fda356,1,2162,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,5
