participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
fd289aaa-48ec-40f0-a26f-f88967203582,1,3934,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
fd289aaa-48ec-40f0-a26f-f88967203582,0,4150,training,pie,27,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
fd289aaa-48ec-40f0-a26f-f88967203582,1,1919,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
fd289aaa-48ec-40f0-a26f-f88967203582,1,2890,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
fd289aaa-48ec-40f0-a26f-f88967203582,0,2470,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
fd289aaa-48ec-40f0-a26f-f88967203582,1,3973,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
fd289aaa-48ec-40f0-a26f-f88967203582,1,2605,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
fd289aaa-48ec-40f0-a26f-f88967203582,1,3024,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,4
fd289aaa-48ec-40f0-a26f-f88967203582,1,4009,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,5
fd289aaa-48ec-40f0-a26f-f88967203582,1,2506,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
fd289aaa-48ec-40f0-a26f-f88967203582,1,4249,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,7
fd289aaa-48ec-40f0-a26f-f88967203582,1,4923,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
fd289aaa-48ec-40f0-a26f-f88967203582,1,3326,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
fd289aaa-48ec-40f0-a26f-f88967203582,1,2592,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
fd289aaa-48ec-40f0-a26f-f88967203582,0,3009,training,pie,12,corn,celery,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
fd289aaa-48ec-40f0-a26f-f88967203582,1,3206,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
fd289aaa-48ec-40f0-a26f-f88967203582,1,4845,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
fd289aaa-48ec-40f0-a26f-f88967203582,1,3857,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
fd289aaa-48ec-40f0-a26f-f88967203582,1,2969,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
