Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641f4fd2e1622d07fec05566,1a5cc2e8-11db-43f4-9696-80c602fffb49,AWAITING REVIEW,2023-03-25T19:48:46.811000Z,2023-03-25T20:09:03.830000Z,,2023-03-25T20:09:04.289051Z,1218,CDR2RKQG,43,English,25,Female,Black,South Africa,Hungary,South Africa,English,Yes,Part-Time
641f500950a46280aa19f017,57b6b5b9-a92f-4b9e-806c-6f023dde730f,AWAITING REVIEW,2023-03-25T19:48:27.145000Z,2023-03-25T19:58:09.564000Z,,2023-03-25T19:58:10.195660Z,583,CDR2RKQG,124,"English, Portuguese",20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
641f500f09e06ae2bcac7171,947936b5-e9b0-47cf-9323-8635083d65fb,AWAITING REVIEW,2023-03-25T19:51:36.509000Z,2023-03-25T20:12:28.797000Z,,2023-03-25T20:12:29.298077Z,1253,CDR2RKQG,108,"Afrikaans, English",32,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
641f5048b37c6fb7641a3b7b,96f993c9-e338-4a07-b1cf-8592327966dc,AWAITING REVIEW,2023-03-25T19:49:28.482000Z,2023-03-25T20:26:42.445000Z,,2023-03-25T20:26:43.105111Z,2234,CDR2RKQG,241,"Spanish, English",29,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
641f5a4346c497b1deff68bb,63986aae-ac83-48f4-a925-523362687985,AWAITING REVIEW,2023-03-25T20:32:03.666000Z,2023-03-25T20:44:22.791000Z,,2023-03-25T20:44:23.147554Z,740,CDR2RKQG,242,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Other
641f5a49f1763c2f5d44ed6e,2b38720c-6d77-4689-8b3f-3202b4e4e6fe,AWAITING REVIEW,2023-03-25T20:32:12.312000Z,2023-03-25T21:08:09.841000Z,,2023-03-25T21:08:10.221739Z,2158,CDR2RKQG,159,"English, Portuguese",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641f5a5b884cb429dfc91d40,07bff663-d383-48bb-b82d-59e3e0be9271,AWAITING REVIEW,2023-03-25T20:32:42.960000Z,2023-03-25T20:44:17.605000Z,,2023-03-25T20:44:18.093884Z,695,CDR2RKQG,80,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
641f5a6e7820c0a9910c107e,5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,AWAITING REVIEW,2023-03-25T20:32:58.751000Z,2023-03-25T20:52:11.609000Z,,2023-03-25T20:52:13.065826Z,1153,CDR2RKQG,211,"English, Spanish",40,Female,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
641f5a718d356fa41d9aeaa7,bcc9876e-1d81-414a-81fa-586bfb2134eb,AWAITING REVIEW,2023-03-25T20:32:49.444000Z,2023-03-25T20:42:55.103000Z,,2023-03-25T20:42:55.953718Z,606,CDR2RKQG,103,"English, Lithuanian",21,Female,White,Lithuania,Ireland,Lithuania,Lithuanian,Yes,Part-Time
641f5a783b1c71a5dfa399e6,1a6d730a-2365-4830-919c-3d01e424688d,AWAITING REVIEW,2023-03-25T20:33:02.448000Z,2023-03-25T20:53:17.429000Z,,2023-03-25T20:53:17.898822Z,1215,CDR2RKQG,343,"Spanish, English",54,Female,Mixed,"Venezuela, Bolivarian Republic of",Spain,Spain,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641f604e0d6601cc77424102,47694fe4-1745-4401-a665-4c586d4c0318,AWAITING REVIEW,2023-03-25T21:06:37.181000Z,2023-03-25T21:51:06.824000Z,,2023-03-25T21:51:07.219466Z,2670,CDR2RKQG,197,"English, Spanish, Portuguese",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
641f60515b658676ef19efc9,84d9afc5-0435-473e-aa65-14a4c43e031a,AWAITING REVIEW,2023-03-25T20:57:53.554000Z,2023-03-25T21:09:50.651000Z,,2023-03-25T21:09:51.269112Z,718,CDR2RKQG,180,"English, Spanish",23,Male,Other,Chile,Chile,Chile,Spanish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641f605259a7d48f48ca2d57,45508501-6822-4cdc-ae6b-d7bf7cfb3b55,AWAITING REVIEW,2023-03-25T20:57:54.412000Z,2023-03-25T21:10:49.311000Z,,2023-03-25T21:10:49.746451Z,775,CDR2RKQG,394,"Italian, English",26,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
641f6052da84cd7f129813f8,5feacd71-a4b0-44a8-ba4b-38ef982b0043,AWAITING REVIEW,2023-03-25T20:57:54.938000Z,2023-03-25T21:06:39.505000Z,,2023-03-25T21:06:40.114031Z,525,CDR2RKQG,47,"English, Portuguese",19,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
641f6053cbeb60acd63046fe,adf78906-5616-4f90-8190-35d65a044616,AWAITING REVIEW,2023-03-25T20:57:55.386000Z,2023-03-25T21:09:48.472000Z,,2023-03-25T21:09:53.048602Z,714,CDR2RKQG,208,"Spanish, English",24,Male,White,Chile,Chile,Chile,Spanish,No,Part-Time
641f60577701595c263046aa,25d26875-2892-4ebf-b229-8520501533f7,AWAITING REVIEW,2023-03-25T20:58:04.230000Z,2023-03-25T21:06:48.944000Z,,2023-03-25T21:06:49.299528Z,525,CDR2RKQG,148,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641f6068de668ea5818123ab,ae42d9b1-d56c-4baa-bad1-6a633cca51e1,AWAITING REVIEW,2023-03-25T20:58:24.080000Z,2023-03-25T21:18:18.120000Z,,2023-03-25T21:18:18.489786Z,1195,CDR2RKQG,120,"English, Spanish",24,Female,White,Chile,Chile,Chile,Spanish,Yes,Other
641f607483da0f8d2f366483,0d7ca386-5e17-4e16-abc8-068b246065ed,AWAITING REVIEW,2023-03-25T20:58:28.732000Z,2023-03-25T21:17:54.809000Z,,2023-03-25T21:17:55.169177Z,1167,CDR2RKQG,230,"English, Telugu",23,Female,Asian,India,Ireland,Ireland,Malayalam,Yes,Part-Time
