participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
15c18f93-9d69-46cc-ad91-f2e92c74d36e,-1,5000,real,pie,5,celery,olive,celery,none,"more, fewer",0,MORE,"color, geo, icon",0,color,3.0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,-1,5000,real,bar,8,celery,corn,celery,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8.0
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,real,pie,0,eggplant,corn,eggplant,none,"more, fewer",1,FEWER,"color, icon, geo",0,color,4.0
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,real,pie,1,tomato,corn,corn,none,"more, fewer",1,FEWER,"color, icon, geo",1,icon,1.0
947936b5-e9b0-47cf-9323-8635083d65fb,-1,5000,real,pie,0,eggplant,corn,eggplant,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
947936b5-e9b0-47cf-9323-8635083d65fb,-1,5000,real,pie,7,mushroom,corn,corn,none,"fewer, more",1,MORE,"icon, geo, color",1,geo,6
90dcd226-0def-4f56-8dba-fc8d639a5402,-1,5000,real,pie,8,corn,celery,corn,none,"more, fewer",0,MORE,"geo, icon, color",2,color,8.0
90dcd226-0def-4f56-8dba-fc8d639a5402,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"more, fewer",1,FEWER,"icon, color, geo",0,icon,4.0
81bcc0a2-7d3e-474e-96c0-791cbed3973b,-1,5000,real,bar,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,3.0
d56a1da9-e307-4d72-a0f8-65c00242aa96,-1,5000,real,pie,2,mushroom,celery,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",2,icon,0.0
